highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
12102,4486,9654,3262,10840,7376,27120,11985,38
11764,11198,9259,5549,29001,4206,1952,5517,51
2468,4211,2077,2869,1412,1894,12064,52007,60
4090,26560,1698,8002,2662,4199,47225,133761,60
4576,2956,13127,10253,15997,10342,34430,18671,50
11831,2800,21034,3104,8557,4707,16126,9664,40
4468,10132,7601,6175,13135,34505,19508,6856,40
8770,2654,3950,2250,2047,2554,23539,259503,38
1379,3184,9793,7199,9533,5904,15168,18509,38
3446,2462,9178,6274,2666,2630,6418,10645,35
2040,5478,4152,4385,7156,4443,10528,10702,35
7223,13293,5251,8792,4424,15825,19493,5896,38
13000,4035,9490,7672,15666,4742,19787,106115,48
6502,3603,4090,10924,4712,5379,8867,13817,51
13685,11004,10480,9211,3297,4045,16463,33063,56
3331,6858,1448,4385,1698,1768,33927,215713,50
5288,2036,9138,4378,1522,6581,19155,1669,44
3887,9076,5663,8500,4064,4528,1822,4940,48
